b12	b3	b4	b5	r12	delta3	delta4	delta5
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
