b12	b3	b4	b5	r12	delta3	delta4	delta5
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
